id,communitynumber_bfs,zip_type,zipcode,additional_digit,g_zipcode,name_short,name,state_id/id,lang,lang2,post_delivery_through,valid_from,zip_post_delivery,sort,country_id/id,onrp
city_260,5640,20,1167,00,1167,Lussy-sur-Morges,Lussy-sur-Morges,bt_ch_state.state_VD,2,,8008,19960806,116260,1,base.ch,260
city_261,5639,10,1132,00,1132,Lully VD,Lully VD,bt_ch_state.state_VD,2,,6256,19960806,111060,1,base.ch,261
city_262,5649,10,1131,00,1131,Tolochenaz,Tolochenaz,bt_ch_state.state_VD,2,,6256,20010301,111060,1,base.ch,262
city_263,5634,20,1125,00,1125,Monnaz,Monnaz,bt_ch_state.state_VD,2,,6256,19880529,111060,1,base.ch,263
city_264,5650,20,1126,00,1126,Vaux-sur-Morges,Vaux-sur-Morges,bt_ch_state.state_VD,2,,290,19920618,114300,1,base.ch,264
city_265,5629,20,1127,00,1127,Clarmont,Clarmont,bt_ch_state.state_VD,2,,290,19890628,114300,1,base.ch,265
city_266,5644,20,1128,00,1128,Reverolle,Reverolle,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,266
city_267,5634,20,1113,00,1113,St-Saphorin-Morges,St-Saphorin-sur-Morges,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,267
city_268,5634,10,1114,00,1114,Colombier VD,Colombier VD,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,268
city_269,5654,20,1115,00,1115,Vullierens,Vullierens,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,269
city_270,5478,20,1116,00,1116,Cottens VD,Cottens VD,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,270
city_271,5485,20,1117,00,1117,Grancy,Grancy,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,271
city_272,5499,20,1304,04,1304,Senarclens,Senarclens,bt_ch_state.state_VD,2,,9490,20010301,130560,1,base.ch,272
city_273,5622,20,1121,00,1121,Bremblens,Bremblens,bt_ch_state.state_VD,2,,6256,19960806,111060,1,base.ch,273
city_274,5645,20,1122,00,1122,Romanel-sur-Morges,Romanel-sur-Morges,bt_ch_state.state_VD,2,,6256,19960806,111060,1,base.ch,274
city_275,5621,10,1123,00,1123,Aclens,Aclens,bt_ch_state.state_VD,2,,6256,19960806,111060,1,base.ch,275
city_276,5484,20,1124,00,1124,Gollion,Gollion,bt_ch_state.state_VD,2,,6256,19880529,111060,1,base.ch,276
city_279,5653,20,1134,00,1134,Vufflens-Château,Vufflens-le-Château,bt_ch_state.state_VD,2,,6256,20010701,111060,1,base.ch,279
city_280,5631,20,1135,00,1135,Denens,Denens,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,280
city_281,5625,20,1136,00,1136,Bussy-Chardonney,Bussy-Chardonney,bt_ch_state.state_VD,2,,290,19960806,114300,1,base.ch,281
city_282,5655,20,1169,00,1169,Yens,Yens,bt_ch_state.state_VD,2,,8008,19880529,116260,1,base.ch,282
city_283,5652,20,1168,00,1168,Villars-sous-Yens,Villars-sous-Yens,bt_ch_state.state_VD,2,,8008,19880529,116260,1,base.ch,283
city_284,5423,20,1144,00,1144,Ballens,Ballens,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,284
city_285,5424,20,1149,00,1149,Berolle,Berolle,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,285
city_286,5431,20,1146,00,1146,Mollens VD,Mollens VD,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,286
city_287,5492,10,1147,00,1147,Montricher,Montricher,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,287
city_288,5494,20,1142,00,1142,Pampigny,Pampigny,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,288
city_289,5500,20,1141,00,1141,Sévery,Sévery,bt_ch_state.state_VD,2,,290,19880529,114300,1,base.ch,289
city_290,5421,10,1143,00,1143,Apples,Apples,bt_ch_state.state_VD,2,,290,19860521,114300,1,base.ch,290
city_291,5425,10,1145,00,1145,Bière,Bière,bt_ch_state.state_VD,2,,290,19860521,114300,1,base.ch,291
city_293,5486,10,1148,00,1148,L'Isle,L'Isle,bt_ch_state.state_VD,2,,290,19981027,114300,1,base.ch,293
city_294,5646,10,1162,00,1162,St-Prex,St-Prex,bt_ch_state.state_VD,2,,8008,19960806,116260,1,base.ch,294
city_295,5636,10,1163,00,1163,Etoy,Etoy,bt_ch_state.state_VD,2,,8008,19960806,116260,1,base.ch,295
city_296,5623,20,1164,00,1164,Buchillon,Buchillon,bt_ch_state.state_VD,2,,8008,19860521,116260,1,base.ch,296
city_297,5851,20,1165,00,1165,Allaman,Allaman,bt_ch_state.state_VD,2,,299,19981015,117000,1,base.ch,297
city_298,5860,10,1166,00,1166,Perroy,Perroy,bt_ch_state.state_VD,2,,7669,19860521,118060,1,base.ch,298
city_299,5422,10,1170,00,1170,Aubonne,Aubonne,bt_ch_state.state_VD,2,,299,19930610,117000,1,base.ch,299
city_303,5426,20,1172,00,1172,Bougy-Villars,Bougy-Villars,bt_ch_state.state_VD,2,,7669,19880529,118060,1,base.ch,303
city_304,5427,20,1173,00,1173,Féchy,Féchy,bt_ch_state.state_VD,2,,7669,19880529,118060,1,base.ch,304
city_305,5432,20,1174,00,1174,Montherod,Montherod,bt_ch_state.state_VD,2,,299,19890601,117000,1,base.ch,305
city_306,5637,10,1175,00,1175,Lavigny,Lavigny,bt_ch_state.state_VD,2,,299,19880529,117000,1,base.ch,306
city_307,5435,20,1176,00,1176,St-Livres,St-Livres,bt_ch_state.state_VD,2,,299,19880529,117000,1,base.ch,307
city_309,5861,10,1180,00,1180,Rolle,Rolle,bt_ch_state.state_VD,2,,7669,19890601,118060,1,base.ch,309
city_312,5857,20,1182,00,1182,Gilly,Gilly,bt_ch_state.state_VD,2,,7164,20010906,119660,1,base.ch,312
city_313,5853,10,1183,00,1183,Bursins,Bursins,bt_ch_state.state_VD,2,,7164,19880529,119660,1,base.ch,313
city_314,5863,20,1184,01,1184,Vinzel,Vinzel,bt_ch_state.state_VD,2,,7164,20000401,119660,1,base.ch,314
city_315,5858,20,1184,00,1184,Luins,Luins,bt_ch_state.state_VD,2,,7164,19880529,119660,1,base.ch,315
city_316,5859,10,1185,00,1185,Mont-sur-Rolle,Mont-sur-Rolle,bt_ch_state.state_VD,2,,7669,19880529,118060,1,base.ch,316
city_317,5856,20,1186,00,1186,Essertines-Rolle,Essertines-sur-Rolle,bt_ch_state.state_VD,2,,7669,19880529,118060,1,base.ch,317
city_318,5436,20,1187,00,1187,St-Oyens,St-Oyens,bt_ch_state.state_VD,2,,7164,19880529,119660,1,base.ch,318
city_319,5437,20,1189,00,1189,Saubraz,Saubraz,bt_ch_state.state_VD,2,,7164,19941205,119660,1,base.ch,319
city_320,5428,10,1188,00,1188,Gimel,Gimel,bt_ch_state.state_VD,2,,7164,19860521,119660,1,base.ch,320
city_323,5721,10,1196,00,1196,Gland,Gland,bt_ch_state.state_VD,2,,7164,19960806,119660,1,base.ch,323
city_324,5725,10,1197,00,1197,Prangins,Prangins,bt_ch_state.state_VD,2,,473,19860521,126060,1,base.ch,324
city_329,6621,20,1200,00,1200,Genève,Genève,bt_ch_state.state_GE,2,,356,19881222,120060,0,base.ch,329
city_367,6621,20,1201,00,1200,Genève,Genève,bt_ch_state.state_GE,2,,356,19860521,120060,1,base.ch,367
city_368,6621,20,1202,00,1200,Genève,Genève,bt_ch_state.state_GE,2,,356,19860521,120060,1,base.ch,368
city_369,6621,20,1203,00,1200,Genève,Genève,bt_ch_state.state_GE,2,,356,19860521,120060,1,base.ch,369
city_370,6621,20,1204,00,1200,Genève,Genève,bt_ch_state.state_GE,2,,356,19871001,120060,1,base.ch,370
city_371,6621,20,1205,00,1200,Genève,Genève,bt_ch_state.state_GE,2,,356,19860521,120060,1,base.ch,371
city_372,6621,20,1206,00,1200,Genève,Genève,bt_ch_state.state_GE,2,,356,19860521,120060,1,base.ch,372
city_373,6621,20,1207,00,1200,Genève,Genève,bt_ch_state.state_GE,2,,356,19981123,120060,1,base.ch,373
city_374,6621,20,1208,00,1200,Genève,Genève,bt_ch_state.state_GE,2,,356,19981123,120060,1,base.ch,374
city_376,6621,20,1209,00,1200,Genève,Genève,bt_ch_state.state_GE,2,,356,19860521,120060,1,base.ch,376
city_411,6628,20,1212,00,1212,Grand-Lancy,Grand-Lancy,bt_ch_state.state_GE,2,,7337,19881001,121260,1,base.ch,411
city_415,6628,20,1213,00,1213,Petit-Lancy,Petit-Lancy,bt_ch_state.state_GE,2,,7166,19881222,121360,1,base.ch,415
city_418,6631,20,1213,03,1213,Onex,Onex,bt_ch_state.state_GE,2,,7166,19960610,121360,1,base.ch,418
city_420,6643,10,1214,00,1214,Vernier,Vernier,bt_ch_state.state_GE,2,,7668,19881222,121460,1,base.ch,420
city_421,6630,10,1215,00,1217,Genève,Genève 15 Aéroport,bt_ch_state.state_GE,2,,422,19960321,121568,1,base.ch,421
city_423,6630,20,1216,00,1216,Cointrin,Cointrin,bt_ch_state.state_GE,2,,7165,19960610,121860,1,base.ch,423
city_424,6630,20,1217,00,1217,Meyrin,Meyrin,bt_ch_state.state_GE,2,,7168,19860521,121760,1,base.ch,424
city_428,6623,10,1218,00,1218,Le Grand-Saconnex,Le Grand-Saconnex,bt_ch_state.state_GE,2,,7165,19960610,121860,1,base.ch,428
city_429,6643,10,1219,00,1219,Le Lignon,Le Lignon,bt_ch_state.state_GE,2,,7167,19960610,121960,1,base.ch,429
